41096,"INDIVIDUAL INVESTIGATION IN INFORMATION ARCHITECTURE, INFORMATION USE OR KNOWLEDGE MANAGEMENT ",IAKM,Permission of instructor.,,Research or individual investigation for baccalaureate level students at or above the junior level.,2011
60001,INFORMATION ARCHITECTURE AND KNOWLEDGE MANAGEMENT IN CONTEXT ,IAKM,Graduate standing.,,"Overview of the Information Architecture and Knowledge Management (IAKM) program and its concentrations. Basic skills and understandings in information literacy, organization of knowledge, information sources and searching. Information sciences, systems, and professionals in the information society.",2011
60002,"KNOWLEDGE ORGANIZATION STRUCTURES, SYSTEMS AND SERVICES ",IAKM,graduate standing.,,"Introduction to various types of knowledge organization systems/services/structures (KOS) used in the networked environment. Understanding of the functional, philosophical, logical and linguistic fundamentals of KOS. Explanation of design options, features of KOS, and procedures to be used in the thesaurus, taxonomy and ontology construction.",2011
60101,INFORMATION ARCHITECTURE ,IAKM,graduate standing.,,"Introduction to the fundamental concepts and practices of information architecture (IA). Students develop practical skills for comparing, analyzing, critiquing and designing information architectures. Major topics include organization, navigation, labeling, search and other core IA concepts. Students learn to create blueprints, wireframes, process flows and other documents used to communicate an information architecture design.",2011
60102,INFORMATION AND VISUAL DESIGN ,IAKM,graduate standing.,,"This course provides a cultural and technological context for understanding the information design process. Topics include: basic design and typographic principles, aesthetics and information design, functional integration of visual and verbal elements, creation and use of information graphics visualization of quantitative information and visual navigation systems.",2011
60103,RESEARCHING THE USER EXPERIENCE ,IAKM,graduate standing.,,"Design research seeks to understand user needs, goals and tasks. Deals with research methods for human-centered design of information-rich artifacts and experiences. Covers interviews, surveys, diary studies and other methods applicable to the formative stages of the design process. Students learn to distill research findings into audience segments, user profiles, personas, scenarios and other documents that model user behavior.",2011
60104,USABILITY I ,IAKM,graduate standing.,,"Provides a conceptual and practical overview of the processes and methods of usability testing, such as Think Aloud protocols, performance measurements and eye-tracking analysis. Actual usability testing is performed, using quantitative and qualitative methods and employing current and emerging software tools to facilitate data collection and analysis.",2011
60105,INFORMATION TECHNOLOGIES ,IAKM,graduate standing.,,"Covers four aspects of information technology: essential technology concepts, the making of software, the social consequences of information technology and the role of non-programmers in technology design. Topics include operating systems, networks, search engines, markup languages, social software, dynamic languages, cloud computing, open source software, technology trends and the history of computing.",2011
60110,CONTENT MANAGEMENT SYSTEMS ,IAKM,IAKM 60105 or 80105; and graduate standing.,,"This course provides an overview of the concepts and practices of Content Management (CM) and Content Management Systems (CMS), including understanding the parts and branches of a CMS criteria for selecting a CMS, CMS configuration, and evaluating and implementing CMS software.",2011
60111,ONLINE BRANDING ,IAKM,graduate standing.,,"This course will focus on the strategies needed to advance brands through effective online experiences including web sites, intranets extranets and emerging web technologies. Students will also learn how to extend the brand through personalization, localization and other segmentation techniques.",2011
60112,ADVANCED INFORMATION ARCHITECTURE ,IAKM,IAKM 60101 or 80101; and graduate standing.,,"Web site design from emerging directions, such as the separation of content from presentation with e.g., the use of Cascading Style Sheets (CSS) for formatting web-based documents. The course includes considerations of making web sites compliant with federal regulations or other standards and validation for various markup guidelines.",2011
60113,USER AND TASK ANALYSIS ,IAKM,IAKM 60101 or 80101; and 60103 or 80103; and graduate standing.,,"In order to design and develop effective user interfaces, task analysis process and theory are explored and applied via principles drawn from anthropology, ethnography, cognitive psychology, document and instruction systems design and market research. Practical techniques and methodologies are presented to improve interface design through all phases of the design process.",2011
60114,USABILITY II ,IAKM,IAKM 60104 or 80104; and graduate standing.,,"Provides students with an understanding of qualitative and quantitative research methods appropriate for conducting advanced studies of human interaction with computers. In addition, students learn how to evaluate, purchase, implement and operate equipment for usability labs in a manner consistent with research methods.",2011
60301,FOUNDATIONAL PRINCIPLES OF KNOWLEDGE MANAGEMENT ,IAKM,graduate standing.,,"This course covers an introduction to: historical roots for knowledge and knowledge management; theories/definitions of knowledge; theories, applications tools and practices of KM; Knowledge Management Life-Cycle Framework and Models; significant issues in KM-- best practices, culture, economics, strategy, intellectual capital, sustainable innovation.",2011
60302,DOCUMENT AND RECORDS MANAGEMENT ,IAKM,graduate standing.,,"Course provides principles, projects and practices for organizational memory management that includes document, records, media, email and enterprise content management with concerns for strategy, compliance, policy, security and workflow.",2011
60303,EFFECTIVE KNOWLEDGE MANAGEMENT IN ORGANIZATIONS ,IAKM,graduate standing.,,"Implementation strategies for human resources, organizational processes and technology are explored. The organizational knowledge management activities of knowledge acquisition, generation, formalization, deployment, utilization, measurement and evaluation are presented.",2011
60304,RESEARCH METHODS FOR KNOWLEDGE MANAGEMENT ,IAKM,graduate standing.,,"This course provides a broad overview of the use of the qualitative methods in knowledge management, including an examination of the process of conducting qualitative research from conceptualization, design, data collection, articulation and preliminary implementation. Critical thinking analysis and writing skills are emphasized.",2011
60310,INTELLECTUAL CAPITAL MANAGEMENT ,IAKM,IAKM 60301 or 80301; and IAKM 60302 or 80302; and graduate standing.,,"This course encompasses the new knowledge-intensive economic units: human capital and social capital intellectual assets, intellectual property, brands and trademarks. A ""lifecycle"" approach for intellectual assets is described-- creation, codification, valuation, protection and leveraging of intellectual assets for competitive advantage.",2011
60311,BUSINESS PROCESS MANAGEMENT ,IAKM,IAKM 60301 or 80301; and IAKM 60302 or 80302; and graduate standing.,,"Introduction to business process management and workflow management. BPM will describe how organizational business processes (internal, external, manual and automated) can be transformed and managed to increase efficiency, effectiveness and positively affect performance. Topics include the discovery, analysis, modeling and automation of workflow processes.",2011
60312,BUSINESS INTELLIGENCE-COMPETITIVE INTELLIGENCE ,IAKM,IAKM 60301 or 80301; and IAKM 60302 or 80302; and graduate standing.,,"An introduction to strategic intelligence consisting of competitive and business intelligence. Strategic intelligence is an art, science and craft. Businesses and governments require effective intelligence programs, processes and tools to track businesses competitors, markets and trends by acquiring, creating, managing and disseminating intelligence knowledge.",2011
60313,STRATEGIC KNOWLEDGE MANAGEMENT-VIRTUAL COMMUNITIES ,IAKM,IAKM 60301 or 80301; and IAKM 60302 or 80302; and graduate standing.,,"Strategic Knowledge Management as it manifests in Virtual Communities: Communities-of-Practice (COPs) and Communities-of-interest (COIs). Areas covered include trust, facilitation of virtual communities, leadership and emotional intelligence in a virtual environment, social network analysis and supporting learning communities with collaborative tools.",2011
60401,HEALTH INFORMATICS MANAGEMENT ,IAKM,graduate standing.,,"Covers the areas encompassing health informatics management including the planning, selection, deployment, and management of electronic medical records (EMR), management decision-support and tracking systems (DSS), and other health information technologies (HIT).",2011
60402,LEGAL ISSUES IN HEALTH INFORMATICS ,IAKM,graduate standing.,,"Introduction to the fundamentals of law for Health Informatics and Information Management. Elements of the course include general legal principles and healthcare; legal electronic medical records (EMR); Health Insurance Portability and Accountability Act (HIPAA) privacy rules and security rules; access, requests and disclosure of health information; required reporting and mandatory disclosure laws; risk management and quality improvement; compliance; workforce overview; related ethics and social issues.",2011
60403,HEALTH INFORMATION SYSTEMS ,IAKM,graduate standing.,,"Introduction to information systems and their applications in healthcare used for managerial and clinical support. Study the fundamentals of information systems, including Electronic Medical Records (EMR), information security. Understand the role of standardized codes, vocabularies and terminologies used in health information systems. Analysis of management and enterprise systems, identify the key elements to manage information resources effectively and the trends affecting the development of health information systems and networks.",2011
60410,HEALTH RECORDS MANAGEMENT ,IAKM,graduate standing.,,"Conceptual foundations and practicum for health records management, including the planning, implementation and operation of electronic medical records (EMR); the management of EMR in management and enterprise systems; identifying, selecting and evaluating EMR and health information systems, applications, and repositories; and issues of data quality, integrity, migration, and interoperability.",2011
60691,SEMINAR IN INFORMATION ARCHITECTURE AND KNOWLEDGE MANAGEMENT ,IAKM,Graduate standing.,,Advanced research by students who are qualified to examine problems of certain special areas related to concentrations of study in information architecture and knowledge management.,2011
60692,PRACTICUM IN INFORMATION ARCHITECTURE AND KNOWLEDGE MANAGEMENT ,IAKM,Graduate standing and special approval. 2.000 OR,,Supervised work experience in concentration areas in IAKM Program of a professional nature of not less than 100 clock hours with directed readings and preparation of a paper.,2011
60693,VARIABLE TITLE WORKSHOP IN INFORMAITON ARCHITECTURE AND KNOWLEDGE MANAGEMENT ,IAKM,Graduate standing.,,Intensive examination of special topics of interest to those involved in program concentrations. Maximum number of workshop credits for the MS-IAKM degree is 4 semester hours.,2011
60792,INTERNSHIP IN INFORMATION ARCHITECTURE AND KNOWLEDGE MANAGEMENT ,IAKM,Graduate standing and director's approval.,,Supervised work experience of an advanced professional nature that concentrates on developing skills in areas of concentration in the IAKM program.,2011
61081,CAPSTONE EXPERIENCE ,IAKM,IAKM 60001 and 60002 and graduate standing and special approval.,,"Provides students the opportunity to integrate their knowledge from all IAKM courses and experiences, interact with other IAKM students who may have different perspectives and make connections with real-world problems through a guided, project-based, collaborative culminating experience.",2011
61095,SELECTED TOPICS IN INFORMATION ARCHITECTURE AND KNOWLEDGE MANAGEMENT ,IAKM,Graduate standing.,,Offered irregularly as resources and/or opportunities permit. Topics could include current or emerging issues in concentrations available in the IAKM program. Specific topics are announced in the Schedule of Classes.,2011
61096,INDIVIDUAL INVESTIGATION IN INFORMATION ARCHITECTURE AND KNOWLEDGE MANAGEMENT ,IAKM,graduate standing.,,Research or individual investigation for master's level students. Maximum credit towards master's degree: 6 hours.,2011
61098,MASTER'S PROJECT ,IAKM,IAKM 60001 and 60002 and graduate standing and special approval.,,"Provides a means for the application of the knowledge, research and competencies learned through study in the Information Architecture and Knowledge Management Program to the development of an information system, product, setting or service.",2011
61199,THESIS I ,IAKM,IAKM 60001 and 60002 and graduate standing.,,"Thesis students must register for a total of 6 hours, 2 to 6 hours in a single semester distributed over several semesters if desired.",2011
61299,THESIS II ,IAKM,IAKM 60001 and 60002 and 61199 and graduate standing.,,Thesis students must continue registration each semester until all degree requirements are met.,2011
80001,INFORMATION ARCHITECTURE AND KNOWLEDGE MANAGEMENT IN CONTEXT ,IAKM,doctoral standing.,,"Overview of the Information Architecture and Knowledge Management (IAKM) program and its concentrations. Basic skills and understandings in information literacy, organization of knowledge, information sources and searching. Information sciences, systems, and professionals in the information society.",2011
80002,"KNOWLEDGE ORGANIZATION STRUCTURES, SYSTEMS AND SERVICES ",IAKM,doctoral standing.,,"Introduction to various types of knowledge organization systems/services/structures (KOS) used in the networked environment. Understanding of the functional, philosophical, logical and linguistic fundamentals of KOS. Explanation of design options, features of KOS, and procedures to be used in the thesaurus, taxonomy and ontology construction.",2011
80101,INFORMATION ARCHITECTURE ,IAKM,doctoral standing.,,"Introduction to the fundamental concepts and practices of information architecture (IA). Students develop practical skills for comparing, analyzing, critiquing and designing information architectures. Major topics include organization, navigation, labeling, search and other core IA concepts. Students learn to create blueprints, wireframes, process flows and other documents used to communicate an information architecture design.",2011
80102,INFORMATION AND VISUAL DESIGN ,IAKM,doctoral standing.,,"This course provides a cultural and technological context for understanding the information design process. Topics include: basic design and typographic principles, aesthetics and information design, functional integration of visual and verbal elements, creation and use of information graphics, visualization of quantitative information, and visual navigation systems.",2011
80103,RESEARCHING THE USER EXPERIENCE ,IAKM,doctoral standing.,,"Design research seeks to understand user needs, goals and tasks. Deals with research methods for human-centered design of information-rich artifacts and experiences. Covers interviews, surveys, diary studies and other methods applicable to the formative stages of the design process. Students learn to distill research findings into audience segments, user profiles, personas, scenarios and other documents that model user behavior.",2011
80104,USABILITY I ,IAKM,doctoral standing.,,"Provides a conceptual and practical overview of the processes and methods of usability testing, such as Think Aloud protocols, performance measurements and eye-tracking analysis. Actual usability testing is performed, using quantitative and qualitative methods and employing current and emerging software tools to facilitate data collection and analysis.",2011
80105,INFORMATION TECHNOLOGIES ,IAKM,doctoral standing.,,"Covers four aspects of information technology: essential technology concepts, the making of software, the social consequences of information technology and the role of non-programmers in technology design. Topics include operating systems, networks, search engines, markup languages, social software, dynamic languages, cloud computing, open source software, technology trends and the history of computing.",2011
80110,CONTENT MANAGEMENT SYSTEMS ,IAKM,IAKM 60105 or 80105; and doctoral standing.,,"This course provides an overview of the concepts and practices of Content Management (CM) and Content Management Systems (CMS), including understanding the parts and branches of a CMS, criteria for selecting a CMS, CMS configuration, and evaluating and implementing CMS software.",2011
80111,ONLINE BRANDING ,IAKM,doctoral standing.,,"This course will focus on the strategies needed to advance brands through effective online experiences including Web sites, intranets, extranets and emerging web technologies. Students will also learn how to extend the brand through personalization, localization and other segmentation techniques.",2011
80112,ADVANCED INFORMATION ARCHITECTURE ,IAKM,IAKM 601010 or 80101; and doctoral standing.,,"Web site design from emerging directions, such as the separation of content from presentation, with e.g., the use of Cascading Style Sheets (CSS) for formatting web-based documents. The course includes considerations of making web sites compliant with federal regulations or other standards and validation for various markup guidelines.",2011
80113,USER AND TASK ANALYSIS ,IAKM,IAKM 60101 or 80101; and 60103 or 80103; and doctoral standing.,,"In order to design and develop effective user interfaces, task analysis process and theory are explored and applied via principles drawn from anthropology, ethnography, cognitive psychology, document and instruction systems design and market research. Practical techniques and methodologies are presented to improve interface design through all phases of the design process.",2011
80114,USABILITY II ,IAKM,IAKM 60104 or 80104; and doctoral standing.,,"Provides students with an understanding of qualitative and quantitative research methods appropriate for conducting advanced studies of human interaction with computers. In addition, students learn how to evaluate, purchase, implement and operate equipment for usability labs in a manner consistent with research methods.",2011
80301,FOUNDATIONAL PRINCIPLES OF KNOWLEDGE MANAGEMENT ,IAKM,doctoral standing.,,"This course covers an introduction to: historical roots for knowledge and knowledge management; theories/definitions of knowledge; theories, applications, tools, and practices of KM; Knowledge Management Life-Cycle Framework and Models; significant issues in KM best practices, culture, economics, strategy, intellectual capital, sustainable innovation.",2011
80302,DOCUMENT AND RECORDS MANAGEMENT ,IAKM,doctoral standing.,,"This course provides principles, projects, and practices for organizational memory management that includes document, records, media, e-mail and enterprise content management with concerns for strategy, compliance, policy, security and workflow.",2011
80303,KNOWLEDGE MANAGEMENT IN ORGANIZATIONS ,IAKM,doctoral standing.,,"Implementation strategies for human resources, organizational processes and technology are explored. The organizational knowledge management activities of knowledge acquisition, generation, formalization, deployment, utilization, measurement and evaluation are presented.",2011
80304,RESEARCH METHODS FOR KNOWLEDGE MANAGEMENT ,IAKM,doctoral standing.,,"This course provides a broad overview of the use of qualitative methods in knowledge management, including an examination of the process of conducting qualitative research from conceptualization, design, data collection, articulation, and preliminary implementation. Critical thinking, analysis, and writing skills are emphasized.",2011
80310,INTELLECTUAL CAPITAL MANAGEMENT ,IAKM,doctoral standing.,,"This course encompasses the new knowledge-intensive economic units: human capital and social capital intellectual assets, intellectual property, brands, and trademarks. A ""lifecycle"" approach for intellectual assets is described creation, codification, valuation, protection and leveraging of intellectual assets for competitive advantage.",2011
80311,BUSINESS PROCESS MANAGEMENT ,IAKM,IAKM 60301 or 80301; and 60302 or 80302; and doctoral standing.,,"Introduction to business process management and workflow management. BPM will describe how organizational business processes, (internal, external, manual and automated), can be transformed and managed to increase efficiency, effectiveness and positively affect performance. Topics include the discovery, analysis, modeling and automation of workflow processes.",2011
