Course Number,Course Name,Department,Prerequisites,Corequesites,Description
ANTH 18210 ,"INTRODUCTION TO CULTURAL ANTHROPOLOGY
",ANTH,None.,None,Exploration of human diversity through the analysis of world cultures.
ANTH 18420 ,"INTRODUCTION TO ARCHAEOLOGY
",ANTH,None.,None,"Archaeology is the study of the human past using material remains. The themes of time change and human
 diversity will be emphasized as students
learn about ancient societies and how they teach us about ourselves."
ANTH 18630 ,"HUMAN EVOLUTION
",ANTH,None.,None,"Introduction to basic evolutionary theory with a focus on the emergence and progressive development of the
 human species during the last five million years. Includes related topics such as primate behavior and human
 variation."
ANTH 18631 ,"ISSUES IN HUMAN EVOLUTION
",ANTH,None,None,"Laboratory study of primate and human anatomy; human paleontology; Mandelian, molecular and human
 genetics; and primate behavior, ecology and conservation. Pre/corequisite: ANTH 18630."
ANTH 38096 ,"INDIVIDUAL INVESTIGATION IN ANTHROPOLOGY
",ANTH,Permission.,None,(Repeatable for credit)Readings and/or research supervised by a member of the anthropology staff.
ANTH 38240 ,"CULTURE AND PERSONALITY
",ANTH,ANTH 18210 or SOC 12050.,None,"Comparative cross-cultural socialization and personality development; group and national character;
 relationship of personality to politics, social and occupational roles."
ANTH 38250 ,"RELIGION:A SEARCH FOR MEANING
",ANTH,ANTH 18210.,None,"How human beings search for meanings in religious experience; the universality and cultural conditioning of this
 phenomenon."
ANTH 38292 ,"FIELD WORK IN CULTURAL ANTHROPOLOGY
",ANTH,ANTH 18210 or SOC 12050.,None,"(Repeatable for credit)Practical experience carrying out field research in cultural anthropology under the
 supervision of members of the anthropology faculty."
ANTH 38480 ,"ARCHAEOLOGICAL ANALYSIS
",ANTH,ANTH 18420.,None,"Methods necessary for the description and laboratory analysis of prehistoric remains. Course will include
 laboratory exercises as well as
class lectures."
ANTH 38490 ,"QUANTITATIVE ANTHROPOLOGY
",ANTH,ANTH 18420 or 18630 or 38630.,None,"Introduces the quantitative description of numerical data, provides an understanding of the basis of probability
 theory and statistical inference and acquaints the student with the role of computers in anthropology."
ANTH 38680 ,"PRIMATE SOCIETIES
",ANTH,ANTH 18630 or 38630.,None,"This course will be a survey of the behavior of living primates. Topics covered include reproductive and foraging
 strategies, social structure and primate conservation. Antecedent human behavior will also be considered."
ANTH 48093 ,"VARIABLE TITLE WORKSHOP IN ANTHROPOLOGY
",ANTH,"Specialapproval.
",None,"(Repeatable for credit) (Cross-listed with ANTH 58093) Classroom discussions and field study activity focused
 on professional and disciplinary concerns. Specific content varies with workshop group."
ANTH 48095 ,"SPECIAL TOPICS IN ANTHROPOLOGY
",ANTH,ANTH 18210 or 18420.,None,"(Repeatable for credit) (Cross-listed with ANTH 58095) Offered irregularly when unusual resources and/or
 opportunities permit. Topic announced when scheduled."
ANTH 48212 ,"KINSHIP AND SOCIAL ORGANIZATION
",ANTH,ANTH 18210.,None,"(Cross-listed with ANTH 58212) This course employs cross-cultural approaches to the understanding of
 marriage, family organization, descent and kinship systems."
ANTH 48214 ,"POLITICS OF CULTURE
",ANTH,none.,None,"Cross-listed with ANTH 58214 and PAS 43320) Addresses the way in which culture has been politicized, and
 looks at such issues as cultural relativism and objectivity in anthropological studies with reference to specific
 peoples and geographic areas."
ANTH 48220 ,"CULTURAL ECOLOGY
",ANTH,ANTH 18210.,None,"(Cross-listed with ANTH 58220) Analysis of the relationship between socio-cultural systems and the physical-
biological environment."
ANTH 48225 ,"ARCHAEOLOGY OF DEATH
",ANTH,ANTH 18420.,None,"(Cross-listed with ANTH 58225) From excavations of prehistoric burial mounds to studies of colonial
 gravestones, the archaeology of death has always occupied a prominent place in anthropological research. The
course explores approaches to diverse meanings of life and death."
ANTH 48230 ,"SOCIO-CULTURAL CHANGE
",ANTH,ANTH 18210.,None,"(Cross-listed with ANTH 58230) Analysis of institutional change where peoples of different cultures are in
 sustained contact."
ANTH 48250 ,"CULTURE AND CURING
",ANTH,ANTH 18210.,None,"(Cross-listed with ANTH 58250) Examination of the relationship between cultural beliefs about the nature of
 reality and the essence of humanity, and the causation and alleviation of disease."
ANTH 48425 ,"ANCIENT MESOAMERICA
",ANTH,ANTH 18420.,None,"2015 Kent State University Catalog - Spring 2016 Course Descriptions
(Cross-listed with ANTH 58425) Comparative analysis of Mesoamerican societies from the arrival of the first
 Americans over 10,000 years ago to European colonization in the 16th century A.D., including major pre-
Columbian civilizations."
ANTH 48440 ,"ARCHAEOLOGY OF ANCIENT OHIO
",ANTH,ANTH 18420.,None,"(Cross-listed with ANTH 58440) Cultural evolution and human-environmental relationships in the ancient Ohio
 region documenting
an 11,000 year period from initial occupation to the beginning of European written history."
ANTH 48450 ,"STATES AND EMPIRES
",ANTH,ANTH 18420.,None,"(Cross-listed with ANTH 58450) This course presents a comparative analysis of both old and new world case
 histories to explore definitions, causal explanations and organizational parameters associated with prehistoric
 state and empire level societies."
ANTH 48492 ,"ARCHAEOLOGICAL FIELD METHODS
",ANTH,special approval.,None,"(Repeatable for a maximum of 18 credit hours) (Cross-listed with ANTH 58492) Field and laboratory techniques
 in archaeological research."
ANTH 48623 ,"HUMAN VARIATION
",ANTH,"none.2015 Kent State University Catalog - Spring 2016 Course Descriptions
",None,"(Cross-listed with ANTH 58623) A detailed anthropological examination of
the causes and extent of modern
 human variability."
ANTH 48630 ,"PACIFIC ISLAND CULTURES
",ANTH,ANTH 18210.,None,"Peoples and characteristics of culture areas of Pacific Islands, including Polynesia, Melanesia and Micronesia
 with analysis of several representative cultures from these areas."
ANTH 48692 ,"FIELD WORK IN BIOLOGICAL ANTHROPOLOGY
",ANTH,"Specialapproval.
",None,"(Repeatable for credit) (Cross-listed with ANTH 58692) Can be applied to
any bioanth field of study and off-
campus activity, ranging from museum
work to U.S. and international research projects."
ANTH 48810 ,"HUMAN PALEONTOLOGY
",ANTH,ANTH 38630.,None,"(Cross-listed with ANTH 58810) Study of primate fossils of the Miocene and Pliocene to include the origins of
 humans and their earliest ancestors."
ANTH 48820 ,"HUMAN MUSCULO-SKELETAL SYSTEM
",ANTH,junior standing or above.,None,"(Cross-listed with ANTH 58820) A largely hands-on course introducing the
study of human anatomy for
 students interested in biological anthropology and archaeology. Topics include skeletal and functional anatomy
 biomechanics and estimation of age and sex from isolated bones."
ANTH 48830 ,"HUMAN BEHAVIORAL ECOLOGY AND EVOLUTION
",ANTH,"ANTH 18630 or 38630or BSCI 30156.
",None,"(Cross-listed with ANTH 58830) How ""unique"" is human behavior? Using an evolutionary perspective, we will
 explore the evolution of human mating systems and parental investment."
ANTH 48835 ,"PRIMATE ECOLOGY AND CONSERVATION
",ANTH,"ANTH18630 or 38630 or 38680 or BSCI 10120.
",None,"(Cross-listed with ANTH 58835) Study of the geographic distribution and evolutionary ecology of
 prosimians,monkeys and apes and human and climatic effects on their long-term survival."
ANTH 48840 ,"NATURAL SELECTION IN PERSPECTIVE
",ANTH,"ANTH 18630 or 38630 or BSCI10120.
",None,"(Cross-listed with ANTH 58840) The course provides an in-depth introduction into the theory of natural selection
 by reading both Darwin's original work and recent interpretations."
ANTH 58093 ,"VARIABLE TITLE WORKSHOP IN ANTHROPOLOGY
",ANTH,"Graduatestanding.
",None,"(Repeatable for credit) (Cross-listed with ANTH 48093) Classroom discussions and field study activity focused
 on professional and disciplinary concerns. Specific content varies with workshop group."
ANTH 58095 ,"SPECIAL TOPICS IN ANTHROPOLOGY
",ANTH,6 graduate hours toward M.A. in Anthropology. Graduate standing.,None,"(Repeatable for credit) (Cross-listed with ANTH 48095) Offered irregularly when unusual resources and/or
 opportunities permit."
ANTH 58212 ,"KINSHIP AND SOCIAL ORGANIZATION
",ANTH,Graduate standing.,None,"(Cross-listed with ANTH 48212) This course employs cross-cultural approaches to the understanding of
 marriage, family organization, descent and kinship system."
ANTH 58214 ,"POLITICS OF CULTURE
",ANTH,Graduate standing.,None,"(Cross-listed with ANTH 48214 and PAS 43320) This course will address the way in which culture has been
 politicized. It will look at issues such as cultural relativism and objectivity in anthropological studies with
 reference to specific peoples and geographic areas."
