Course Number,Course Name,Department,Prerequisites,Corequesites,Description
GEOL 11040 ,"HOW THE EARTH WORKS
",GEOL,None.,None,"Explores processes that shape Earth's landscapes (volcanism, flooding, landslides, sea-level rise, mountain
 building) and that are of vital interest to humans (earthquakes, groundwater, energy and mineral resources,
 climate change)."
GEOL 11041 ,"HOW THE EARTH WORKS LABORATORY
",GEOL,None,None,"Lab experience with earth materials (mineral crystals, common and unusual rock specimens), Google Earth
 images, and experiments demonstrating processes at earth's surface such as groundwater pollution, flooding,
 and on-line earthquake simulations. Pre/corequisite: GEOL 11040."
GEOL 11042 ,"EARTH AND LIFE THROUGH TIME
",GEOL,none.,None,"Explores major events in the history of Earth including mass extinctions, Snowball Earth, birth and death of
 oceans, growth of continents, explosion of life, dinosaurs, and the surprising inter-relatedness of earth and life
 processes."
GEOL 11043 ,"EARTH AND LIFE THROUGH TIME LABORATORY
",GEOL,None,None,"Lab experience with interesting fossils, rocks, and sedimentary features, a river process simulator, and the
 concept of deep time. Pre/corequisite: GEOL 11042."
GEOL 21062 ,"ENVIRONMENTAL EARTH SCIENCE
",GEOL,None.,None,"Application of Earth Science to environmental problems, including natural resource extraction, water supply,
 pollution, waste disposal, landslides, floods and land use planning. Local field trip."
GEOL 21080 ,"ALL ABOUT THE OCEANS
",GEOL,none.,None,"Explores the many fascinating (and some still little known) features and
processes of the Earth's Oceans
 including mid-ocean ridges, hydrothermal vents, tsunamis, tides, rogue waves, marine life, and the role of the
 Ocean in climate change."
GEOL 22000 ,"INTRODUCTORY GEOLOGY SEMINAR
",GEOL,none.,None,"Provides new Geology and Earth Science majors with an overview of career paths and opportunities within
 these majors. Components of the course include a journal club, informational presentations by geoscientists in
 industry, government, and academia, and skills training needed for the major. Required overnight field trip."
GEOL 23063 ,"EARTH MATERIALS I
",GEOL,GEOL 11040 and GEOL 11041; and pre- or ,None,"Occurrence, associations, characteristics, crystallography and crystal chemistry of common minerals. Laboratory
 identification emphasizing physical properties. Lecture three hours, lab two hours weekly. Required
field trip."
GEOL 31070 ,"EARTH MATERIALS II
",GEOL,GEOL 23063.,None,"Occurrence and origin of igneous, sedimentary and metamorphic rocks. Laboratory identification, description
 and classification of hand specimens. Lecture three hours, lab two hours weekly. Required field trip."
GEOL 31080 ,"STRUCTURAL GEOLOGY
",GEOL,none.,None,"Mechanical principles of rock deformation. Structures in sedimentary igneous and metamorphic rocks. Lecture
 three hours lab two hours weekly.
Required field trip."
GEOL 32066 ,"GEOMORPHOLOGY
",GEOL,GEOL 11040 and GEOL 11041.,None,"Earth's surface features as functions of geological structures, processes and time. Landform analysis using
 topographic maps and some stereographic aerial photos. Lecture three hours, lab two hours weekly.
Trigonometry recommended."
GEOL 34061 ,"INVERTEBRATE PALEONTOLOGY
",GEOL,GEOL 11042 andGEOL 11043. ,BSCI 10002 or 10110.,"Concepts applied to study of commonly preserved invertebrate organisms; identification of common North
 American fossils. Lecture three hours, lab two hours weekly. Required field trip."
GEOL 40093 ,"VARIABLE TITLE WORKSHOP IN GEOLOGY
",GEOL,Special approval.,None,(Repeatable for credit)Workshop and/or training program focused on a specific professional or disciplinary topic.
GEOL 40095 ,"SELECTED TOPICS IN GEOLOGY
",GEOL,20 hours of geology courses.,None,"(Cross-listed with GEOL 50095) (Repeatable for credit) Selected topics presented by visiting professors or one-
time offerings presented by regular faculty."
GEOL 40096 ,"INDIVIDUAL INVESTIGATION IN GEOLOGY
",GEOL,Special approval.,None,"(Repeatable for credit)Directed field, laboratory and/or library research. Written report required. Open on
 special approval of faculty member directing work. Only 3 hours will be applied toward baccalaureate
degree.
 Does not count toward geology major."
GEOL 41025 ,"GENERAL GEOPHYSICS
",GEOL,"GEOL 31070 and GEOL 31080 andMATH
 12002; and PHY 13001 or PHY 23101.
",None,"(Cross-listed with GEOL 51025) Physics of Earth, seismology, geomagnetism, heat flow, radioactivity,
 geochronology, geotectonic models. Required field trip."
GEOL 41073 ,"GEOLOGY OF OHIO
",GEOL,Junior standing.,None,"(Cross-listed with GEOL 51073) Minerals, rocks, fossils, structural geology, physiography, environmental
 geology and geologic resources. Required field trips. Does not satisfy requirements of geology major."
GEOL 41077 ,"GEOLOGY OF THE NATIONAL PARKS
",GEOL,Junior standing.,None,"(Cross-listed with GEOL 51077) Introduction to the geology of selected major national parks, emphasizing basic
 geological principles and the processes which have produced the spectacular scenery, rocks and fossils
in each
 park. Not counted toward requirements for a major in geology."
GEOL 41079 ,"ALL ABOUT DINOSAURS
",GEOL,None.,None,"(Cross-listed with GEOL 51079) Dinosaurs (and some relatives) and their world, emphasizing how to interpret
 evidence concerning their history, biology and evolutionary relationships. Does not satisfy requirements of
 geology major."
GEOL 41080 ,"TECTONICS AND OROGENY
",GEOL,"GEOL2015 Kent State University Catalog - Spring 2016 Course Descriptions
31080.
",None,"(Cross-listed with GEOL 51080) Introduces advanced concepts of plate tectonics and mountain building with
 emphasis on Western United States and Appalachians. Required field trip to New England."
GEOL 41082 ,"ADVANCED STRUCTURAL GEOLOGY
",GEOL,GEOL 31080.,None,"(Cross-listed with GEOL 51082) Theoretical and applied studies in structural geology, including mechanical,
 mathematical, model and field investigations. Required field trip."
GEOL 41092 ,"SUMMER FIELD CAMP
",GEOL,"GEOL 31070 and GEOL31080.
",None,"(Cross-listed with GEOL 51092) Five weeks devoted to geologic mapping and solving structural and
 stratigraphic problems in Black Hills, S.D. Special fee on actual cost basis."
GEOL 42030 ,"REMOTE SENSING
",GEOL,none.,None,"(Cross-listed with GEOL 52030 and GEOL 72030 and GEOG 49230 and GEOG 59230 and GEOG 79230)
 Computer analysis of multispectral satellite datasets. Applications in Terrestrial Earth Science are emphasized."
GEOL 42035 ,"SCIENTIFIC METHODS IN GEOLOGY
",GEOL,none.,None,"(Cross-listed with GEOL 52035) Applying scientific methods to geologic data in the field and lab; models and
 sampling procedures. Collecting and analyzing data. Formulating and testing hypostheses. Provides background
 necessary for upper-level geology courses for majors. Lecture
two hours, lab two hours weekly."
GEOL 42065 ,"WATERSHED HYDROLOGY
",GEOL,Junior standing.,None,"(Slashed with GEOL 52065) Study of water movement, storage, and transformation across landscapes."
GEOL 42067 ,"INTRODUCTORY HYDROGEOLOGY
",GEOL,Junior standing.,None,"(Slashed with GEOL 52067) Occurrence of ground water in geologic materials; emphasizing utilization,
 conservation and management of ground water resources."
GEOL 42068 ,"CONTAMINANT HYDROLOGY AND HYDROGEOLOGY
",GEOL,"GEOL 42067 and CHEM10060 and CHEM 10061 and CHEM
 10062 and CHEM 10063.
",None,"(Cross-listed with GEOL 52068) An introduction to the basic principles of chemical and physical behavior of
 contaminants introduced by humans into the environment. Students are expected to understand concepts and
work practical quantitative problems."
GEOL 42069 ,"HYDROGEOCHEMISTRY
",GEOL,10 hours of chemistry.,None,"(Cross-listed with GEOL 52069 and GEOL 72069) Processes and evolution of
the chemical composition of water
 in the natural hydrologic cycle. Methods of hydrochemical interpretation applied to ground water and pollution
 problems. Lecture three hours weekly."
GEOL 42074 ,"ENVIRONMENTAL CORE AND WELL LOGGING
",GEOL,GEOL 31070.,None,"(Cross-listed with GEOL 52074) Examination of subsurface processes and the distribution of stratigraphic layers
 using core and well logging techniques based on analysis of physical properties of sediment, rock and pore
 fluids. Applications to paleoclimate, hydrogeology, engineering
geology, oil and gas exploration and
 environmental remediation."
GEOL 42078 ,"ENGINEERING GEOLOGY
",GEOL,Geology (GEOL) or Earth Science (ESCI) major with junior standing.,None,"(Cross-listed with GEOL 52078) Engineering properties of soils and rocks. Site evaluation for building
 foundations, dams, tunnels, and highways. Slope stability. Lecture three hours and lab two hours weekly."
GEOL 43040 ,"PRINCIPLES OF GEOCHEMISTRY
",GEOL,GEOL 31070; and MATH 12002; and CHEM 10060 and CHEM 10061.,None,"(Cross-listed with GEOL 53040) Introduction to chemical thermodynamics and its applications in solving
 geochemical problems. Distributions of elements and isotopes in the earth and laws governing these
distributions."
GEOL 43042 ,"ENVIRONMENTAL GEOCHEMISTRY
",GEOL,CHEM 10060 and CHEM 10061.,None,"(Cross-listed with GEOL 53042 and GEOL 73042) Explores chemical processes that influence the natural
 environment, including anthropogenic impacts. Topics include atmospheric chemistry and air pollution, energy
 and climate change, toxic organic compounds, water chemistry and water pollution, metals, soils, sediments
 and waste disposal. Environmental problem solving using steady state and non-steady state box models,
 thermodynamics and energy transfer, and chemical reactions and equilibria is emphasized. Required half-day
 field
trip."
GEOL 43044 ,"ENVIRONMENTAL ISOTOPES
",GEOL,CHEM 10060 and CHEM 10061.,None,"(Cross-listed with GEOL 53044 and GEOL 73044) Deals with the fundamentals of isotope geochemistry and the
 application of primarily light stable isotopes (H, O, C, N) to earth system processes (involving the hydrosphere,
 biosphere, and upper geosphere)."
GEOL 43066 ,"OPTICAL PETROGRAPHY
",GEOL,GEOL 31070.,None,"(Cross-listed with GEOL 53066) Theory of optical crystallography and the
microscopic examination and
 identification of igneous,sedimentary and metamorphic rocks in thin section. Lecture two hours, lab two hours
weekly."
GEOL 44052 ,"GLACIERS AND GLACIATION
",GEOL,GEOG 21062 or GEOL 11040.,None,"(Cross-listed with GEOG 41052, GEOG 51052 and GEOG 71052) Examination of
how glacial ice masses change
 the shape of the earth's surface, how they are integral to climate and sea level change, and how they pose high
 risk hazards."
GEOL 44070 ,"SEDIMENTOLOGY AND STRATIGRAPHY
",GEOL,GEOL 31070.,None,"(Slashed with GEOL 54070) Students are introduced to the principles regarding the systematics of sedimentary
 rocks and the relationships between geologic formations at various spatial and temporal scales. Lectures are
 integrated with readings from the open literature and required labs and field trips."
GEOL 44074 ,"PALEOCEANOGRAPHY
",GEOL,none.,None,"2015 Kent State University Catalog - Spring 2016 Course Descriptions
A broad spectrum of geological approaches, including paleontology, geochemistry and stratigraphy is employed
 to interpret the history of earth's oceans."
GEOL 50093 ,"VARIABLE TITLE WORKSHOP IN GEOLOGY
",GEOL,Graduate standing and special approval.,None,"(Repeatable for credit)Workshop or training program focused on a specific professional or disciplinary topic
 within geology."
GEOL 50095 ,"SELECTED TOPICS IN GEOLOGY
",GEOL,Graduate standing.,None,"(Cross-listed with GEOL 40095) (Repeatable for credit)Selected topics presented by visiting professors or one-
time offerings presented by regular faculty."
GEOL 51025 ,"GENERAL GEOPHYSICS
",GEOL,graduate standing.,None,"Physics of Earth. Seismology, geomagnetism; heat flow, radioactivity, geochronology, gravity and isostasy,
 geotectonic models. Lecture 3 hours
weekly. Required field trip."
GEOL 51073 ,"GEOLOGY OF OHIO
",GEOL,Graduate standing.,None,"(Cross-listed with GEOL 41073) Minerals, rocks, fossils, structural geology, physiography, environmental
 geology, geologic resources. Required field trips. Does not satisfy requirements for major in geology."
GEOL 51077 ,"GEOLOGY OF THE NATIONAL PARKS
",GEOL,Graduate standing.,None,"(Cross-listed with GEOL 41077) Introduction to the geology of selected major national parks, emphasizing basic
 geological principles and the processes which have produced the spectacular scenery, rocks and fossils
in each
 park. Not counted toward requirements for a major in geology."
GEOL 51079 ,"ALL ABOUT DINOSAURS
",GEOL,Graduate standing.,None,"(Cross-listed with GEOL 41079) Dinosaurs (and some relatives) and their world, emphasizing how to interpret
 evidence concerning their history, biology and evolutionary relationships. Does not satisfy requirements of
 geology major."
GEOL 51080 ,"TECTONICS AND OROGENY
",GEOL,graduate standing.,None,"Introduces advanced concepts of plate tectonics and mountain building with emphasis on Western United States
 and Appalachians. Required field trip to New England."
GEOL 51082 ,"ADVANCED STRUCTURAL GEOLOGY
",GEOL,graduate standing.,None,"(Cross-listed with GEOL 41082) Theoretical and applied studies in structural geology, including mechanical,
 mathematical, model and field investigations."
GEOL 51092 ,"SUMMER FIELD CAMP
",GEOL,"graduate standing.2015 Kent State University Catalog - Spring 2016 Course Descriptions
",None,"(Repeatable for credit)Five weeks devoted to geologic mapping and solving structural and stratigraphic
 problems in Black Hills, S.D. Special fee on actual cost basis."
GEOL 52030 ,"REMOTE SENSING
",GEOL,graduate standing.,None,"(Cross-listed with GEOL 42030 and GEOL 72030 and GEOG 41052 and GEOG 51052 and GEOG
 71052)Computer analysis of multispectral satellite datasets. Applications in Terrestrial Earth Science are
 emphasized."
GEOL 52035 ,"SCIENTIFIC METHODS IN GEOLOGY
",GEOL,graduate standing.,None,"(Cross-listed with GEOL 42035) Applying scientific methods to geologic data in the field and lab; models and
 sampling procedures. Collecting and analyzing data. Formulating and testing hypotheses. Lecture two hours, lab
 two hours."
GEOL 52065 ,"WATERSHED HYDROLOGY
",GEOL,Graduate standing.,None,"(Slashed with GEOL 42065) Study of water movement, storage, and transformation across landscapes."
