,Keywords,Similar Departments
ACCT,"Accounting, Auditing, Communication, Cost, Decision, Emphasize, Financial, Tax","ACTT, EMBA, FIN, BMRT"
ACTT,"Accounting, Cost, Fraud, Income, Payroll, Statement",ACCT
ADED,"Adolescent, Bureau, School, Secondary, Teach, Teaching","MCED, CI, ECET, SPSY, ECED, CTTE, EDAD, PEP, ITEC, HED"
AED,"Anecdotal, Base, Build, Credible, Design, Designer, Environment, Evidence, Explore, Interpret, Organizational, Rather, Rely, Shape, Tool",ID
AERN,"Air, Aircraft, Aviation, Faa, Flight, Pilot",AMRT
AMRT,"Aviation, Candidate, Certification, Comprehensive, Faa, Fitting, Fluid, Line, Maintenance, Technician, Weld",AERN
AMST,"American, Andor, Creditselecte, Culture, Project, Subject, Theme",
ANTH,"Ago, Anthropological, Anthropology, Human, Prehistoric, Primate",
ARAB,"Arabic, Colloquial, Continuation","CHIN, HEBR, HRTG"
ARCH,"Architectural, Architecture, Building, Conservation, Construction, Design","ARCS, ID, UD, TECH, DSCI, VCD, ARTH, CS, IAKM"
ARCS,"Architectural, Architecture, Contemporary, Design, Digital, Play","ARCH, VCD, DSCI, ID"
ARTC,"Cloth, Craft, Design, Enamel, Glass, Jewelry, Loom, Textile, Weave","KBA, VCD"
ARTE,"Associate, Clinical, Education, Fiftyfour, Lead, Practice, Prevail, Teach, Teacher","CULT, CTTE, HIED, CI, RADT, ECED, HED, SPED"
ARTF,"Conceive, Continuation, Fine, Individually, Intaglio, Paint, Painting, Photographic, Portfolio, Produce, Retain, Sculpture",ARTH
ARTH,"Architecture, Arts, Late, Painting, Prehistoric, Sculpture, Th","ARTF, CLAS, HIST, ARCH"
ART,"Art, Away, Creative, Goal, Involve, Reflection, Site, Thesis, Threedimensional, Travelbase, Visual",
ASL,"American, Bilingualbicultural, Community, Cumulative, Deaf, Expressive, Immersion, Inclass, Language, Receptive, Sign","SPED, MCLS"
ASTU,"Air, Commission, Defense, Force, Instructional, Mandatory, Military, Optional, Rotc, Scholarship, Task, Undertake",MSCI
AS,"Adequately, Administer, Authoritative, Available, Dean, Encourage, Formulate, Interdisciplinary, Legal, Promptly, Treat",CA
ATTR,"Athletic, Clinical, Competency, Training","EXSC, EXPH, RADT, RIS"
BAD,"Economic, Estimation, International, Linear, Policy, Rate, Trade","ECON, POL, FIN, MATH"
