,Keywords,Similar Departments
ACCT,"Accounting, Cost, Equity, Income, Owner, Pension, Statement",ACTT
ACTT,"Account, Accounting, Analyse, Cost, Financial, Income, Statement, Tax","ACCT, FIN"
ADED,"Authorize, Bcii, Bureau, Curriculum, Fbi, Investigation, Mathematic, Schoolagency, Secondary, Social, Study, Submit, Teach, Teachinginternship","SEED, MCED, ECET, CTTE, ECED, HDFS, HED, ARTE"
AMRT,"Aircraft, Aviation, Candidate, Certification, Comprehensive, Faa, Meet, Requirement",TECH
AMST,"American, Approval, Comparative, Culture, Discussion, Intensive, Last, Modify, Onaugust, Page, Pattern, Periodization, Prerequisite, Read, Senior, Stand, Theme, Themes",
ANTH,"Ancient, Anthropology, Archaeology, Cultural, Culture, Human, Prehistoric, Prerequisite, Primate",HIST
ARAB,"Arabic, Colloquial, Continuation, Geographical","CHIN, HRTG"
ARCH,"Architectural, Architecture, Building, Design, Form, Structural, Urban","ARTH, VCD, ID"
ARTC,"Change, Craft, Design, Enamel, Fee, Flat, Floor, Glass, Loom, Subject, Textile, Weaving","VCD, ARTF, ID, FDM, JMC, TECH, THEA, CS, BSCI"
ARTE,"Andor, Associate, Associated, Clinical, Education, Fee, Fiftyfour, Gpa, Grade, Ip, Permissible, Teach, Teaching","PEP, ARTF, JMC, CTTE, MCED, RIS, ADED"
ARTF,"Change, Continuation, Draw, Fee, Flat, Intaglio, Later, Paint, Portfolio, Retain, Sculpture, Subject","ARTC, VCD, JMC, ID, ARTE, TECH"
ARTH,"Architecture, Arts, History, Late, Museum, Prehistoric, Sculpture, Western","ARCH, HIST, CLAS"
ART,"Artistcraftsperson, Concerns, Practice, Professional",
ASL,"American, Bilingualbicultural, Community, Crossliste, Deaf, Expressive, Immersion, Language, Receptive, Sign",SPED
ASTU,"Air, Defense, Force, Military",MSCI
AS,"Approvalspecial, Collegebecause, Comparative, Dean, Encourage, Facultyrequest, Interdisciplinary, Offer, Promptly, Sponsor, Topicsthis",
ATTR,"Athletic, Clinical, Competency, Domain, Psychomotor, Training",
BMRT,"Business, Capital, Computation, Finance, Insurance, Law, Management, Marketing, Merchandise","FIN, MIS, MKTG, ENTR, MMTG"
BSCI,"Animal, Biology, Fee, Lab, Plant, Prerequisite, Threehour, Vertebrate","VTEC, ARTC"
BTEC,"Acid, Biotechnology, Genomics, Nucleic, Phylogenetic, Protein, Proteomic, Sequence",
BUS,"Balance, Business, Challenge, Chaos, Communicative, Complexity, Concurrent, Cooperate, Deteriorate, Ensue, Globalization, Hypercompetition, Onthejob, Opportunity, Prevent, Technological, Threat, Together",MIS
