,Keywords,Similar Departments
ACCT,"Accounting, Auditing, Communication, Cost, Decision, Emphasize, Ethical, Financial, Tax","ACTT, EMBA, FIN, BMRT"
ACTT,"Account, Accounting, Computerized, Cost, Income, Manual, Payroll, Statement, Tax",ACCT
ADED,"Assign, Authorize, Bcii, Bureau, Check, Criminal, Day, Fbi, Investigation, Mathematic, Secondary, Submit, Teaching","MCED, ECET, SEED, SPSY, CI, ECED, CTTE, HED, EDAD, ITEC"
AERN,"Air, Aircraft, Aviation, Faa, Flight, Pilot, Traffic",AMRT
AMRT,"Aircraft, Aviation, Candidate, Certification, Comprehensive, Faa, Meet, Requirement",AERN
AMST,"American, Andor, Comparative, Culture, Discussion, Intensive, Pattern, Project, Reading, Subject, Theme",HONR
ANTH,"Anthropology, Culture, Human, Primate","BMS, HIST"
ARAB,"Arabic, Continuation, Culture, Language, Vocabulary","CHIN, HEBR, HRTG"
ARCH,"Architectural, Architecture, Building, Design, Total, Urban","UD, DSCI, VCD, TECH, ID, ARTH, CS, IAKM, HORT"
ARTC,"Craft, Design, Enamel, Exploration, Glass, Jewelry, Loom, Medium, Textile","KBA, VCD"
ARTE,"Andor, Associate, Clinical, Education, Fiftyfour, Lead, Practice, Prevail, Teach, Teacher","CULT, HIED, CI, CTTE, RADT, EDAD, SPED, PEP"
ARTF,"Color, Conceive, Continuation, Fine, Individually, Intaglio, Painting, Photographic, Portfolio, Produce, Retain, Sculpture, Studio",ARTH
ARTH,"Architecture, Art, Arts, Century, Late, Painting, Prehistoric, Sculpture, Th","HIST, CLAS, ARTF, ARCH"
ART,"Art, Away, Creative, Involve, Reflection, Site, Thesis, Threedimensional, Travelbase, Visual",
ASBR,"Behavioral, Community, Communitybase, Health, Intervention, Prevention, Qualitative, Regular, Science, Violence","SBS, HED, PH, BST, ILS"
ASL,"American, Bilingualbicultural, Community, Cumulative, Deaf, Expressive, Immersion, Inclass, Language, Receptive, Sign, Successful",SPED
ASTU,"Air, Commission, Defense, Force, Mandatory, Military, Optional, Rotc, Scholarship, Task, Undertake",MSCI
AS,"Adequately, Authoritative, Dean, Encourage, Interdisciplinary, Legal, Liberal, Promptly","CA, US"
ATTR,"Athletic, Clinical, Training","RADT, RIS, EXPH, EXSC"
BAD,"Cost, Doctoral, Economic, Estimation, International, Policy, Trade","ECON, POL, EMBA, FIN, MIS"
BMRT,"Business, Capital, Display, Insurance, Law, Management, Merchandise","EMBA, MIS, FIN, MKTG, ACCT, IAKM, TECH"
BMS,"Biochemical, Human, Laboratory, Nervous, Physiology, Primate, Regulation","BSCI, ANTH"
BSCI,"Animal, Biology, Ecology, Ecosystem, Lab, Laboratory, Organism, Plant","BMS, VTEC"
BST,"Analysis, Experimental, Health, Linear, Model, Multivariate, Quasiexperimental, Regression, Sas, Statistical, Survival","HPM, HED, EPI, PH, EVAL, ASBR"
BTEC,"Biotechnology, Director, Protein, Sequence",
BUS,"Basis, Business, Chaos, Concurrent, Cooperate, Deteriorate, Different, Ensue, Hyper, Offer, Onthejob",
CACM,"Conflict, Dispute, Management, Resolution, Violence",POL
CADT,"Animation, Computeraide, Creation, Custom, Dimensional, Draft, Flowchart, Interactive, Modeling, Multimedia, Rough, Shade, Solid",
CA,"Adequately, Administer, Clear, College, Committee, Dean, Encourage, Intend, Make, Promptly, Propose, Request, Scheduling, Sponsor, Treat","AS, US"
CCI,"Andor, Choose, Collaborative, Committee, Conceptualize, Conclusion, Coursework, Cover, Dissertation, Doctoral, Empirical, Experience, Interdisciplinary, Learning, Method, Traditional",
CHDS,"Counsel, Counseling, Counselor, Family, Group, Therapy","HDFS, SPSY, RHAB, HED, EDAD, PSYC, ECED, SPED, CI"
CHEM,"Chemical, Chemistry, Organic",
CHIN,"Active, Authentic, Build, Chinese, Chinesespeaking, Comprehension, Connected, Continuation, Conversational, Discourse, Intermediate, Proficiency, Text, Vocabulary","ARAB, HEBR"
CI,"Bureau, Curriculum, Education, Learn, Literacy, Mathematic, Science, Teaching","MCED, ECED, ADED, SEED, ECET, SPSY, CTTE, PEP, EDAD, EPSY"
CLAS,"Ancient, Antiquity, Archaeology, Greek, Roman, Sculpture","GRE, ARTH"
CLS,"Apply, Blood, Characterization, Consideration, Fluid, Identification, Isolation, Laboratory, Practical, Theoretical",VTEC
COMM,"Communication, Health, Interpersonal, Medium","JMC, HED, HDFS, PH"
COMT,"Debug, Eventdriven, Lan, Language, Network, Objectoriente, Programming, Technology, Web","CS, TECH, MIS, LIS, IAKM, ITEC, DSCI"
CPHY,"Crystal, Defect, Liquid, Phase, Polymer",PHY
CS,"Algorithm, Computer, Design, Language, Network, Numerical, Programming","COMT, MATH, TECH, MIS, VCD, DSCI, IAKM, LIS, ARCH"
CTTE,"Assign, Bureau, Career, Careertechnical, Education, Investigation, Technical","MCED, ECET, ADED, CI, SPSY, ECED, SEED, CULT, HIED, HED"
CULT,"Cultural, Education, Educational, Foundation","HIED, ARTE, EDAD, CTTE, EPSY, CI, EDPF, HED, PEP, EVAL"
DAN,"Ballet, Dance, Movement, Technique",
DSCI,"Architecture, Business, Design, Enterprise, Hci, Technology","ARCH, IAKM, MIS, TECH, CS, EMBA, COMT"
ECED,"Bureau, Child, Childhood, Early, Preschool, Teaching, Young","ECET, MCED, CI, ADED, SPSY, SPED, CTTE, SEED, HDFS, HED"
ECET,"Assign, Authorize, Background, Bcii, Bureau, Check, Criminal, Curriculum, Day, Fbi, Federal, Internship, Investigation, Involvement, Personnel, Schoolagency, Submit, Teaching","MCED, ADED, ECED, SPSY, CTTE, CI, SEED, HED, HDFS, EDAD"
ECON,"Analysis, Economic, International, Monetary, Policy, Trade","BAD, POL, EMBA, IERT, HONR, FIN"
EDAD,"Administrator, Education, Educational, Leader, School","CULT, CI, HIED, SPSY, EPSY, PEP, ECED, CTTE, ADED, SPED"
EDPF,"Adolescence, Assumption, Birth, Educational, Historical, Human, Implication, Inquiry, Learn, Perspective, Philosophical, Policy, Profession, Service, Sociological, Teach","EPSY, CULT, CI"
EDUC,"Balanced, Education, Elementary, Full, Health, Physical, Secondary, Teach, Time","SEED, HED"
EERT,"Circuit, Electricalelectronic, Engineering, Microprocessor, Sensor",TECH
EHS,"Assessment, Environmental, Hazard, Health, Risk","PH, HED, EVHS, HPM, SBS"
EIRT,"Deal, Digital, Fiber, Hour, Industrial, Lab, Local, Medical, Monitor, Network, Optic, Optimization","TECH, MIS"
ELS,"Adult, Agency, Cooperating, Exercise, Fitness, Kent, Leisure, Physical, Scholarly, Sport, Test","SRM, SPAD, PEP, EXSC, RPTM, EXPH"
EMBA,"Business, Decision, Decisionmake, Executive, Managerial, Market, Planning","MIS, BMRT, MKTG, FIN, ACCT, BAD, ECON, MMTG, PADM, TECH"
ENG,"Criticism, English, Genre, Language, Literary, Literature, Write, Writer","MCLS, CI, SPAN, PAS, HIST, ITAL, FR, SEED, HRTG, GER"
ENTR,"Business, Entrepreneur, Entrepreneurial, Entrepreneurship, Irregular, Microbusiness, Offer, Venture",
EPI,"Chronic, Datum, Disease, Epidemiologic, Epidemiology, Infectious","PH, BST"
EPSY,"Classroom, Development, Educational, Human, Learn, Learning","EDPF, CI, CULT, EVAL, EDAD, ITEC, SPED, PSYC"
EVAL,"Educational, Evaluation, Gt, Irt, Manipulate, Measurement, Multivariate, Necessary","EPSY, CULT, BST"
EVHS,"Environmental, Fire, Hazard, Hazardous, Poison, Safety, Technology","EHS, PH, TECH"
EXPH,"Endurance, Exercise, Physiological, Physiology, Response, Spirometry, Strength","EXSC, ATTR, ELS"
