Course Number,Course Name,Department,Prerequisites,Corequesites,Description
CMGT 51041 ,"CONSTRUCTION ESTIMATING II
",CMGT,CMGT 41040 or CMGT 51040 and graduate standing.,None,"Putting costs to the project, finalizing the bid, incorporating the estimate into the schedule, buying out the
project, bidding ethics and using computer spreadsheets including Excel to automate estimating functions."
CMGT 52105 ,"CONSTRUCTION CONTRACTS AND LAW
",CMGT,graduate standing.,None,"The fundamentals of construction contracts and law, the impact of information technology on contracts and
contracting, and the effect of contracts and law on the management, administration and the costs of
construction work."
CMGT 52107 ,"CONSTRUCTION SCHEDULING
",CMGT,graduate standing.,None,"The traditional theory of planning, scheduling and controlling construction projects. Current industry standard
computer applications for scheduling are utilized."
CMGT 52110 ,"ADVANCED CONSTRUCTION MANAGEMENT
",CMGT,"graduatestanding and special approval. 
",None,"A comprehensive application of construction management principles and practices to various situations and
projects according to construction industry methods and performance standards."
CMGT 62030 ,"BUILDING INFORMATION MODELING FOR CONSTRUCTION MANAGEMENT
",CMGT,graduate standing.,None,"This course will further reinforce and investigate the usage of Building Information Modeling (BIM) as a
Construction Management tool. BIM models will be created, with scheduling and cost loading and utilized to
understand how BIM usage is maximized within the Built Environment. This course will utilize software
applications to create the BIM model and integrate the construction schedule and estimate. Research on the
application of BIM in the industry will also be performed."
CMGT 62040 ,"CONSTRUCTION METHODS IMPROVEMENTS
",CMGT,graduate standing.,None,"A focused study of the philosophy and principles of quality management as applied to the construction industry.
Course presents a project-based approach to the principles and practices of Total Quality Management (TQM) in
construction projects and the application of TQM and other quality measures during different phases of the
construction process."
CMGT 62050 ,"INTERNATIONAL CONSTRUCTION MANAGEMENT
",CMGT,graduate standing.,None,"Topics include operating and sustaining an international business or business presence, the global market,
project funding, case studies, and best practices. Course includes project specific case studies."
CMGT 67295 ,"ST IN CONSTRUCTION MANAGEMENT
",CMGT,graduate standing.,None,"Analysis of significant and current issues in Construction Management not covered in regular courses. Offered
when opportunities and resources permit; the topic is announced when the course is scheduled."
CMGT 67296 ,"INDIVIDUAL INVESTIGATION IN CONSTRUCTION MANAGEMENT
",CMGT,"graduate standing and specialapproval. 
",None,"Independent study carried out by a student under the supervision of a faculty member. Subject content,
objectives, assignments, and evaluation methods may vary."
CMGT 67320 ,"APPLIED SUSTAINABILITY IN CONSTRUCTION MANAGEMENT
",CMGT,"graduatestanding and special approval. 
",None,"Investigation of strategies and methods used by construction managers and others to assist in developing
sustainable built environments. Takes a close look at standards for environmentally sustainable construction and
at the application of Best Management Practices for construction activities. Focus is on LEED Certification,
International Standards on Environmental Management Systems, and other established criteria, guidelines,
standards, and tools associated with Green Building. Provides an in-depth discussion and practical application of
LEED assessment, guidelines and standards for various building sectors. Includes a major individual design
project/case study involving research in green construction and design on a particular construction project,
along with the application of LEED guidelines, assessment and methods to the project."
