Course Number,Course Name,Department,Prerequisites,Description
14000,Drawing I,ARTF,major in fine art (ARTS)and special approval,Fundamental drawing and studio experiences; exploration of basic drawing ideas and media. Work produced in this course must be retained for later portfolio presentation in ARTF 24005.
14001,Drawing II,ARTF,major in fine art (ARTS)and special approval,Continued practice in drawing with particular emphasis upon dimensional representation and pictorial structure. Work produced in this course must be retained for later portfolio presentation in ARTF 24005.
14055,Sculpture I,ARTF,major in fine art (ARTS)and special approval,An introduction to the basic concepts of three-dimensional form. Work produced in this course must be retained for later portfolio presentation in ARTF 24005.
14060,Painting I,ARTF,major in fine art (ARTS)and special approval,"Opaque, water-based media used to introduce fundamental form language and vocabulary of painting. Emphasis on structured study and effective use of colors. Work produced in this course must be retained for later portfolio presentation in ARTF 24005. Prerequisites: ARTF 14000. Special fee: $25 flat fee—subject to change.24001 Drawing III (3)Emphasis on continued development of drawing with focus on nonfigurative representations of pictorial space. Work produced in this course must be retained for later portfolio presentation in ARTF 24005."
24001,Drawing III,ARTF,major in fine art (ARTS)and special approval,Emphasis on continued development of drawing with focus on nonfigurative representations of pictorial space. Work produced in this course must be retained for later portfolio presentation in ARTF 24005.
24005,Sophomore Review: Fine Arts,ARTF,major in fine art (ARTS)and special approval,"Diagnostic review by fine arts faculty of portfolio of work selected from “foundation” courses. Student’s knowledge of art history is also examined. Student must receive a passing score (above C average) to continue in degree program. Action by faculty committee may include the assignment of additional studio work over the normal graduation requirements in areas of apparent deficiencies. S/U grading; IP grade permissible. Prerequisites: ARTF 14000 and 14001 and 14022 and 14055 and 14060 and 24010 and 24040; and ARTH 22006 and22007; and fine arts (ARTF) major.24010 Introduction to Fine Art Photography (3)Introductory studio/lecture course, which introduces fine art photography with an aesthetic, contemporary approach. Students learn traditional and digital photographic image-making applications and the historical underpinnings of the photograph in modern art. Research paper and portfolio required. Work produced in this course must be retained for later portfolio presentation in ARTF 24005. Prerequisites: ARTF 14000 and 14022. Special fee: $60 flat fee—subject to change.24020 Digital Media (3)Introduces concepts, tools, software and guided experiences necessary for creative integration of digital skills and concepts into art practices and art research. Prerequisites: art education (ARTE) or art history (ARTH) or fine arts (ARTS) or crafts (CRFT) or crafts/fine arts (CFA) major and freshman or sophomore standing. Special fee: $45 flat fee—subject to change.24040 Printmaking I (3)Basic traditional and contemporary techniques of relief (woodcut, lino-cut, etc.) and intaglio printing (etching, collograph, etc.). Work produced in this course must be retained for later portfolio presentation in ARTF 24005."
14000,and 14001 and 14022 and 14055 and 14060 and 24010 and 24040; and ARTH 22006 and22007; and fine arts (ARTF) major.24010 Introduction to Fine Art Photography,ARTF,major in fine art (ARTS)and special approval,"Introductory studio/lecture course, which introduces fine art photography with an aesthetic, contemporary approach. Students learn traditional and digital photographic image-making applications and the historical underpinnings of the photograph in modern art. Research paper and portfolio required. Work produced in this course must be retained for later portfolio presentation in ARTF 24005. Prerequisites: ARTF 14000 and 14022. Special fee: $60 flat fee—subject to change.24020 Digital Media (3)Introduces concepts, tools, software and guided experiences necessary for creative integration of digital skills and concepts into art practices and art research. Prerequisites: art education (ARTE) or art history (ARTH) or fine arts (ARTS) or crafts (CRFT) or crafts/fine arts (CFA) major and freshman or sophomore standing. Special fee: $45 flat fee—subject to change.24040 Printmaking I (3)Basic traditional and contemporary techniques of relief (woodcut, lino-cut, etc.) and intaglio printing (etching, collograph, etc.). Work produced in this course must be retained for later portfolio presentation in ARTF 24005."
14000,and 14022. Special fee: $60 flat fee—subject to change.24020 Digital Media,ARTF,major in fine art (ARTS)and special approval,"Introduces concepts, tools, software and guided experiences necessary for creative integration of digital skills and concepts into art practices and art research. Prerequisites: art education (ARTE) or art history (ARTH) or fine arts (ARTS) or crafts (CRFT) or crafts/fine arts (CFA) major and freshman or sophomore standing. Special fee: $45 flat fee—subject to change.24040 Printmaking I (3)Basic traditional and contemporary techniques of relief (woodcut, lino-cut, etc.) and intaglio printing (etching, collograph, etc.). Work produced in this course must be retained for later portfolio presentation in ARTF 24005."
24040,Printmaking I,ARTF,major in fine art (ARTS)and special approval,"Basic traditional and contemporary techniques of relief (woodcut, lino-cut, etc.) and intaglio printing (etching, collograph, etc.). Work produced in this course must be retained for later portfolio presentation in ARTF 24005."
24055,Sculpture II,ARTF,major in fine art (ARTS)and special approval,Continuation of ARTF 14055 with greater emphasis on materials and processes.
14055,with greater emphasis on materials and processes. Prerequisite: ARTF 14055. Special fee: $66 flat fee—subject to change.24060 Painting II,ARTF,major in fine art (ARTS)and special approval,Continuation of work begun in ARTF 14060. Introduction to oil painting with emphasis upon direct painting from observed sources and study of expressive capabilities of painting.
34001,Drawing IV,ARTF,major in fine art (ARTS)and special approval,(Repeatable for a total of 9 credit hours) Further study and understanding of concepts and ideas which enable students to understand and professionally realize their drawings.
24001,and a grade of S in ARTF 24005. Special fee: $28 flat fee—subject to change.34002 Introduction to Figure Drawing,ARTF,major in fine art (ARTS)and special approval,"(Repeatable for a total of 9 credit hours) Extensive studio practice of traditional and contemporary approaches to the human figure. Critical analysis of the figure, from the Renaissance through postmodernism. Students work from a nude model. Prerequisites: ARTF 14000 and 14001 and 24001 and a grade of S in ARTF 24005. Special fee: $66 flat fee—subject to change.34040 Printmaking: Intermediate Intaglio (3)Continuation of ARTF 24040 emphasizing individually assigned problems in intaglio with introduction to color intaglio techniques."
14000,and 14001 and 24001 and a grade of S in ARTF 24005. Special fee: $66 flat fee—subject to change.34040 Printmaking: Intermediate Intaglio,ARTF,major in fine art (ARTS)and special approval,Continuation of ARTF 24040 emphasizing individually assigned problems in intaglio with introduction to color intaglio techniques.
24040,emphasizing individually assigned problems in intaglio with introduction to color intaglio techniques. Prerequisite: ARTF 24040 or a grade of S in ARTF 24005. Special fee: $54 flat fee—subject to change.34041 Serigraphy I,ARTF,major in fine art (ARTS)and special approval,"The initial presentation of fundamental concepts and processes pertaining to serigraphy. This course will include printing techniques and aesthetic considerations in the making of art. Prerequisites: ARTF 24040 and a grade of S in ARTF 24005. Special fee: $66 flat fee—subject to change.34042 Lithography I (3)Introduction to stone lithography. Techniques of drawing and printing crayon, tusche, transfer and color images and their relation to problems of drawing and composition. Prerequisites: ARTF 24040 and a grade of S in ARTF 24005. Special fee: $45 flat fee—subject to change.34050 Sculpture: Life Modeling (3)(Repeatable for a total of 6 credit hours) Continuation of the study of the human figure in sculpture. Prerequisites: ARTF 24055 and a grade of S in ARTF 24005. Special fee: $66 flat fee—subject to change.34055 Sculpture III (3)A sculpture course with an emphasis on other conceptual approaches beyond the more formal and aesthetic considerations explored in Sculpture II. Prerequisites: ARTF 24055 and ARTF 24005 with a grade of S. Special fee: $66 flat fee—subject to change.34060 Painting III (3)Continuation of the painting experience in various media, using formal means of painting expressively. Prerequisites: ARTF 24060 and a grade of S in ARTF 24005. Special fee: $30 flat fee—subject to change.44003 Drawing V (3)(Repeatable for a total of 9 credit hours) Continuation of ARTF 34001."
24040,and a grade of S in ARTF 24005. Special fee: $66 flat fee—subject to change.34042 Lithography I,ARTF,major in fine art (ARTS)and special approval,"Introduction to stone lithography. Techniques of drawing and printing crayon, tusche, transfer and color images and their relation to problems of drawing and composition. Prerequisites: ARTF 24040 and a grade of S in ARTF 24005. Special fee: $45 flat fee—subject to change.34050 Sculpture: Life Modeling (3)(Repeatable for a total of 6 credit hours) Continuation of the study of the human figure in sculpture. Prerequisites: ARTF 24055 and a grade of S in ARTF 24005. Special fee: $66 flat fee—subject to change.34055 Sculpture III (3)A sculpture course with an emphasis on other conceptual approaches beyond the more formal and aesthetic considerations explored in Sculpture II. Prerequisites: ARTF 24055 and ARTF 24005 with a grade of S. Special fee: $66 flat fee—subject to change.34060 Painting III (3)Continuation of the painting experience in various media, using formal means of painting expressively. Prerequisites: ARTF 24060 and a grade of S in ARTF 24005. Special fee: $30 flat fee—subject to change.44003 Drawing V (3)(Repeatable for a total of 9 credit hours) Continuation of ARTF 34001."
24040,and a grade of S in ARTF 24005. Special fee: $45 flat fee—subject to change.34050 Sculpture: Life Modeling,ARTF,major in fine art (ARTS)and special approval,"(Repeatable for a total of 6 credit hours) Continuation of the study of the human figure in sculpture. Prerequisites: ARTF 24055 and a grade of S in ARTF 24005. Special fee: $66 flat fee—subject to change.34055 Sculpture III (3)A sculpture course with an emphasis on other conceptual approaches beyond the more formal and aesthetic considerations explored in Sculpture II. Prerequisites: ARTF 24055 and ARTF 24005 with a grade of S. Special fee: $66 flat fee—subject to change.34060 Painting III (3)Continuation of the painting experience in various media, using formal means of painting expressively. Prerequisites: ARTF 24060 and a grade of S in ARTF 24005. Special fee: $30 flat fee—subject to change.44003 Drawing V (3)(Repeatable for a total of 9 credit hours) Continuation of ARTF 34001."
24055,and a grade of S in ARTF 24005. Special fee: $66 flat fee—subject to change.34055 Sculpture III,ARTF,major in fine art (ARTS)and special approval,"A sculpture course with an emphasis on other conceptual approaches beyond the more formal and aesthetic considerations explored in Sculpture II. Prerequisites: ARTF 24055 and ARTF 24005 with a grade of S. Special fee: $66 flat fee—subject to change.34060 Painting III (3)Continuation of the painting experience in various media, using formal means of painting expressively. Prerequisites: ARTF 24060 and a grade of S in ARTF 24005. Special fee: $30 flat fee—subject to change.44003 Drawing V (3)(Repeatable for a total of 9 credit hours) Continuation of ARTF 34001."
24055,and ARTF 24005 with a grade of S. Special fee: $66 flat fee—subject to change.34060 Painting III,ARTF,major in fine art (ARTS)and special approval,"Continuation of the painting experience in various media, using formal means of painting expressively. Prerequisites: ARTF 24060 and a grade of S in ARTF 24005. Special fee: $30 flat fee—subject to change.44003 Drawing V (3)(Repeatable for a total of 9 credit hours) Continuation of ARTF 34001."
24060,and a grade of S in ARTF 24005. Special fee: $30 flat fee—subject to change.44003 Drawing V,ARTF,major in fine art (ARTS)and special approval,(Repeatable for a total of 9 credit hours) Continuation of ARTF 34001.
34001,and a grade of S in ARTF 24005. Special fee: $28 flat fee—subject to change.44010 Advanced Fine Art Photography,ARTF,major in fine art (ARTS)and special approval,"Combined studio/lecture course offering more advanced, conceptual approach to the contemporary applications of photographic imaging for artists. Students work with larger scale printing   formats, more involved research and greater depth of involvement with the photographic medium. Prerequisites: ARTF 24010 and  ARTF 24005 with a grade of S. Special fee: $60 flat fee—subject to change.44040 Printmaking: Advanced Intaglio (3)(Repeatable for a total of 9 credit hours.) Continuation of ARTF 34040 with special emphasis on color and photographic techniques intaglio."
